reviews,price_parsed,rating,item_weight_pounds,availability_Available,"availability_Caution, few left",store_title_Brand,store_title_Store,delivery_date,categories,position
-0.20103916866506794,0.2338178558902614,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,49.0
19.253796962430055,1.9874517750672225,0.28571428571428753,-0.558984569437531,1.0,0.0,0.0,1.0,3.0,4.0,7.0
-0.22102318145483613,-0.15587857059350768,0.0,-0.5390741662518664,1.0,0.0,0.0,1.0,3.0,4.0,100.0
-0.09072741806554756,-0.09352714235610461,-1.1428571428571426,0.5360876057740168,1.0,0.0,0.0,1.0,3.0,6.0,83.0
11.718225419664268,0.1406024706753439,-0.285714285714285,-0.17073170731707313,1.0,0.0,0.0,1.0,3.0,4.0,77.0
0.07633892885691447,-0.09352714235610461,-0.285714285714285,0.5161772025883523,1.0,0.0,0.0,1.0,3.0,6.0,61.0
24.780575539568346,-0.2451190522582908,0.28571428571428753,-0.2513688402190144,1.0,0.0,0.0,1.0,3.0,3.0,81.0
-0.2106314948041567,-0.20264214177155995,-0.8571428571428575,-0.2324539571926331,0.0,1.0,0.0,1.0,3.0,5.0,91.0
0.7022382094324541,-0.07014535676707848,0.28571428571428753,-0.16475858636137378,0.0,1.0,0.0,1.0,3.0,4.0,69.0
0.9028776978417267,0.0,-0.285714285714285,0.18367346938775506,1.0,0.0,0.0,1.0,3.0,6.0,52.0
-0.16906474820143885,1.0642609407271733,-0.57142857142857,0.24639123942259833,0.0,1.0,0.0,1.0,3.0,1.0,28.0
0.04836131095123901,1.3873972175675147,0.0,0.7849676455948231,0.0,1.0,0.0,1.0,4.0,4.0,19.0
-0.22741806554756194,-0.1059974280035852,1.142857142857145,1.0039820806371327,1.0,0.0,0.0,1.0,3.0,4.0,57.0
262.7198241406874,-0.11690892794513076,0.5714285714285725,-0.6555500248880038,1.0,0.0,0.0,1.0,3.0,1.0,64.0
-0.17705835331734612,-0.023381785589026146,0.28571428571428753,0.47635639621702325,1.0,0.0,0.0,1.0,3.0,6.0,75.0
7.316147082334132,2.2261798059311793,0.28571428571428753,2.4873071179691384,1.0,0.0,0.0,1.0,3.0,4.0,2.0
0.014788169464428458,-0.15587857059350768,0.28571428571428753,0.3668491786958686,1.0,0.0,1.0,0.0,3.0,4.0,62.0
35.45203836930455,-0.07918631386150192,0.5714285714285725,-0.558984569437531,1.0,0.0,0.0,1.0,3.0,4.0,43.0
0.0,0.2338178558902614,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,42.0
2.447242206235012,2.571996414792876,0.5714285714285725,2.3977103036336485,0.0,1.0,0.0,1.0,0.0,4.0,5.0
-0.19784172661870503,0.8573321382642921,-0.57142857142857,0.0970632155301145,1.0,0.0,0.0,1.0,3.0,4.0,16.0
1.7238209432454037,0.9197615057869918,-0.57142857142857,0.5759084121453458,1.0,0.0,0.0,1.0,3.0,4.0,18.0
-0.2170263788968825,0.15587857059350765,0.28571428571428753,2.1289198606271773,0.0,1.0,0.0,1.0,3.0,6.0,41.0
-0.20663469224620304,0.15587857059350765,-0.285714285714285,-0.5480338476854155,1.0,0.0,0.0,1.0,3.0,4.0,39.0
7.36810551558753,-0.2486263200966447,0.0,-0.33897461423593817,1.0,0.0,0.0,1.0,3.0,5.0,6.0
0.30335731414868106,-0.08573321382642923,-0.285714285714285,-0.6067695370831258,1.0,0.0,0.0,1.0,3.0,5.0,92.0
5.958832933653078,-0.10132107088578,-0.57142857142857,-0.09606769537083128,1.0,0.0,1.0,0.0,3.0,6.0,60.0
0.24100719424460432,3.5774911344062974,0.0,2.776007964161274,1.0,0.0,0.0,1.0,3.0,5.0,1.0
0.18904876099120704,-0.08573321382642923,0.0,-0.3698357391737182,1.0,0.0,0.0,1.0,3.0,4.0,35.0
0.02597921662669864,1.037839523011574,-0.57142857142857,0.19064211050273766,0.0,1.0,0.0,1.0,3.0,1.0,29.0
-0.2314148681055156,0.14543470636374262,0.5714285714285725,-0.5490293678446988,0.0,1.0,0.0,1.0,3.0,4.0,51.0
64.33133493205436,2.0070145356767077,0.5714285714285725,-0.03434544549527125,1.0,0.0,0.0,1.0,3.0,4.0,12.0
-0.23061550759392485,0.31175714118701525,-2.0000000000000013,0.0,1.0,0.0,0.0,1.0,3.0,5.0,36.0
-0.2322142286171063,2.0261096605744124,0.5714285714285725,2.0890990542558483,1.0,0.0,0.0,1.0,3.0,4.0,24.0
-0.10271782573940848,-0.11690892794513076,0.0,0.6455948232951717,1.0,0.0,0.0,1.0,3.0,1.0,53.0
0.9900079936051159,1.4419547172752425,-0.57142857142857,-0.03434544549527125,0.0,1.0,0.0,1.0,2.0,4.0,11.0
-0.14828137490007995,0.30404115194263664,-0.57142857142857,-0.5092085614733697,1.0,0.0,0.0,1.0,3.0,5.0,32.0
1.9932054356514788,-0.03117571411870153,-0.57142857142857,-0.21453459432553504,1.0,0.0,0.0,1.0,3.0,4.0,67.0
-0.22342126298960832,0.015587857059350766,-1.1428571428571426,3.11448481831757,1.0,0.0,0.0,1.0,3.0,5.0,58.0
-0.13309352517985612,0.0214333034566073,-2.857142857142859,0.6455948232951717,1.0,0.0,0.0,1.0,3.0,4.0,80.0
-0.22342126298960832,-0.06235142823740309,0.8571428571428601,-0.16475858636137378,1.0,0.0,0.0,1.0,3.0,5.0,86.0
60.10591526778577,0.07793928529675383,0.5714285714285725,-0.6286709805873567,0.0,1.0,0.0,1.0,2.0,4.0,33.0
-0.17625899280575538,-0.07793928529675385,0.5714285714285725,0.3270283723245395,1.0,0.0,1.0,0.0,3.0,5.0,85.0
-0.14828137490007995,1.519971941857293,0.0,2.726231956197113,1.0,0.0,0.0,1.0,3.0,4.0,15.0
-0.22821742605915268,-0.16367249912318305,0.5714285714285725,-0.10204081632653063,1.0,0.0,1.0,0.0,3.0,5.0,90.0
-0.13149480415667467,2.7970071314446043,-3.142857142857145,3.3135888501742157,0.0,1.0,0.0,1.0,3.0,4.0,20.0
-0.07314148681055156,1.4448384708312223,-2.0000000000000013,6.55898456943753,0.0,1.0,0.0,1.0,3.0,2.0,30.0
59.599920063948844,0.35852071236506755,0.5714285714285725,-0.4494773519163762,1.0,0.0,0.0,1.0,3.0,4.0,50.0
0.45763389288569145,-0.1284439421690503,0.0,0.0970632155301145,0.0,1.0,1.0,0.0,3.0,5.0,98.0
-0.2354116706634692,-0.21043607030123532,0.0,-0.4494773519163762,1.0,0.0,0.0,1.0,3.0,1.0,99.0
0.4272581934452438,-0.1667900705350532,0.0,0.10303633648581385,1.0,0.0,0.0,1.0,3.0,5.0,70.0
-0.19704236610711431,1.0779003156541052,-2.0000000000000013,0.19064211050273766,0.0,1.0,0.0,1.0,3.0,1.0,21.0
-0.19304556354916066,0.0,-2.857142857142859,-0.09606769537083128,0.0,1.0,0.0,1.0,3.0,6.0,95.0
-0.2258193445243805,-0.23381785589026147,0.28571428571428753,-0.20159283225485314,1.0,0.0,0.0,1.0,3.0,4.0,73.0
-0.014788169464428458,-0.18705428471220917,-0.285714285714285,-0.30114484818317566,1.0,0.0,0.0,1.0,3.0,4.0,78.0
-0.1882494004796163,2.8048789992595764,-0.285714285714285,3.3135888501742157,0.0,1.0,0.0,1.0,3.0,4.0,26.0
-0.2314148681055156,-0.23381785589026147,0.5714285714285725,-0.2702837232453956,1.0,0.0,0.0,1.0,3.0,6.0,38.0
0.09472422062350119,-0.06235142823740309,0.0,-0.05226480836236932,1.0,0.0,0.0,1.0,3.0,4.0,82.0
15.231414868105515,0.09625501734149099,0.5714285714285725,-0.5788949726231956,1.0,0.0,0.0,1.0,3.0,4.0,47.0
0.5047961630695443,-0.17146642765285844,-0.57142857142857,-0.2513688402190144,1.0,0.0,0.0,1.0,3.0,3.0,40.0
0.30335731414868106,-0.08573321382642923,-0.285714285714285,-0.6067695370831258,1.0,0.0,0.0,1.0,3.0,5.0,66.0
1.438449240607514,-0.08963017809126693,0.0,1.8302638128422095,1.0,0.0,1.0,0.0,3.0,4.0,59.0
-0.0683453237410072,1.3873972175675147,-3.4285714285714315,-0.6674962667994025,0.0,1.0,0.0,1.0,3.0,0.0,13.0
-0.2082334132693845,-0.15587857059350768,0.5714285714285725,0.03434544549527125,1.0,0.0,0.0,1.0,3.0,5.0,89.0
-0.2106314948041567,0.07793928529675383,1.142857142857145,1.6112493777999002,1.0,0.0,0.0,1.0,3.0,4.0,71.0
0.47442046362909673,-0.17146642765285844,-1.714285714285715,-0.5978098556495768,1.0,0.0,0.0,1.0,3.0,4.0,88.0
-0.1882494004796163,0.30404115194263664,0.5714285714285725,0.8247884519661521,0.0,1.0,0.0,1.0,3.0,5.0,37.0
20.866906474820144,2.556486497018822,0.5714285714285725,2.0890990542558483,0.0,1.0,0.0,1.0,3.0,4.0,22.0
-0.036370903277378096,-0.10132107088578,0.0,0.5759084121453458,1.0,0.0,0.0,1.0,3.0,6.0,84.0
0.24740207833733013,2.64993570008963,0.28571428571428753,2.5370831259332998,0.0,1.0,0.0,1.0,0.0,4.0,10.0
0.16266986410871304,-0.16367249912318305,-1.1428571428571426,-0.3947237431557988,1.0,0.0,0.0,1.0,3.0,5.0,97.0
-0.20423661071143084,-0.03896964264837691,-2.2857142857142874,-0.4952712792434046,1.0,0.0,1.0,0.0,3.0,5.0,68.0
0.45763389288569145,-0.1284439421690503,0.0,0.0970632155301145,0.0,1.0,1.0,0.0,3.0,5.0,65.0
0.0683453237410072,-0.08970811737656366,0.0,1.0438028870084617,0.0,1.0,0.0,1.0,3.0,4.0,48.0
-0.14028776978417265,0.15587857059350765,0.5714285714285725,-0.5689397710303633,0.0,1.0,0.0,1.0,3.0,5.0,45.0
